pid,Amoeba,Bacteriastrum,Chaetoceros,Ciliophora,Copepod_nauplii,Cryptophyta,Cylindrotheca,Dictyocha,Dinophyceae,Dinophyceae_morphotype3,Eutintinnus,Gonyaulax,Guinardia_striata,Gyrodinium,Katodinium_or_Torodinium,Laboea_strobila,Leptocylindrus_mediterraneus,Oxytoxum,Phaeocystis,Pleuronema,Pronoctiluca,Proterythropsis,Protoperidinium,Pseliodinium,Pseudo-nitzschia,Rhizosolenia,Strombidium_inclinatum,Strombidium_morphotype1,Syracosphaera_pulchra,Thalassionema,Thalassiosira,Tiarina_fusus,Tripos,Tripos_furca,Tripos_fusus,Tripos_lineatus,Warnowia,bead,bubble,coccolithophorid,colony,detritus,detritus_theca_fragment,detritus_transparent,fecal_pellet,fiber,nanoplankton_mix,pennate,seta
D20210511T174908_IFCB102,1,3,3,4,0,35,9,6,130,590,1,0,0,0,5,0,0,0,12,0,1,0,0,0,30,0,0,0,1,4,35,0,0,0,0,5,0,1,0,28,84,230,0,1,2,15,6274,84,0
D20210511T175704_IFCB115,7,2,2,10,0,21,9,4,145,169,0,0,1,1,7,0,0,4,1,0,0,0,0,0,9,4,0,1,5,7,9,1,0,0,0,2,0,13,7,78,9,570,0,67,2,52,784,47,1
D20210511T181328_IFCB102,0,2,1,4,1,36,12,7,140,617,2,1,1,0,8,0,1,1,13,1,0,0,0,0,28,0,0,3,1,1,25,0,0,0,0,1,0,0,2,19,77,172,0,2,0,15,6629,105,0
D20210511T182125_IFCB115,3,5,1,9,1,15,8,2,167,173,0,1,0,0,12,0,1,1,3,0,0,0,1,0,18,1,0,1,8,8,9,0,0,0,0,0,0,14,5,91,6,558,0,96,1,45,763,30,2
D20210511T183747_IFCB102,5,53,201,12,1,26,36,12,135,338,1,0,6,4,7,1,10,2,24,0,0,0,1,0,260,18,0,1,6,47,34,0,0,1,0,6,2,2,1,27,51,631,0,8,0,60,3996,207,10
D20210511T190207_IFCB102,2,128,338,17,0,7,40,3,137,281,3,1,2,5,11,0,13,0,26,0,0,1,0,1,387,24,0,1,2,76,36,0,0,0,0,2,2,2,2,24,58,372,1,2,0,51,3385,253,38
D20210511T192625_IFCB102,3,22,61,12,0,27,20,2,144,608,2,0,2,1,8,0,8,0,17,0,0,0,0,0,80,2,0,0,1,14,36,0,0,0,1,0,0,0,1,16,82,299,0,2,1,32,5848,109,3
D20210511T202123_IFCB102,0,27,50,7,0,18,15,6,97,440,1,2,0,1,5,0,8,0,13,0,0,0,1,0,73,4,0,0,1,13,29,0,0,1,1,2,0,0,3,24,86,368,0,3,2,18,5302,120,7
D20210511T204544_IFCB102,2,29,74,7,0,11,14,2,107,446,1,1,2,2,7,1,3,1,16,0,0,0,0,0,67,4,0,0,1,20,33,0,0,0,0,0,0,0,5,41,71,418,0,6,0,31,5368,113,2
D20210511T211315_IFCB102,2,26,45,12,0,20,15,5,110,500,3,0,1,5,8,0,2,0,13,0,0,0,0,0,69,5,0,0,3,16,44,0,0,0,0,0,0,4,6,26,65,308,0,6,0,33,5637,105,3
D20210511T212045_IFCB115,3,36,39,9,0,23,15,5,156,227,2,1,1,2,8,0,5,4,12,1,0,0,0,1,39,2,0,1,1,17,30,0,0,1,0,2,0,7,4,93,25,313,1,21,0,20,1788,30,0
D20210511T213736_IFCB102,2,27,47,10,2,22,14,5,112,474,2,1,1,0,9,0,4,1,16,0,0,0,0,0,60,5,0,0,2,14,37,0,0,0,0,1,0,2,2,28,76,255,0,2,1,23,5581,94,3
D20210511T214506_IFCB115,6,29,46,10,0,30,15,3,155,209,0,3,2,4,2,1,2,1,10,0,0,0,2,0,28,2,0,1,2,10,18,1,1,0,0,2,1,10,2,97,13,413,1,30,1,22,1813,31,4
D20210511T220157_IFCB102,5,24,48,7,0,18,16,9,105,514,4,1,0,1,5,0,2,1,12,0,1,0,0,0,58,8,0,1,3,10,36,1,0,0,1,0,0,0,4,21,69,289,0,4,0,19,5510,101,5
D20210511T220928_IFCB115,7,26,40,14,0,44,18,4,163,210,3,6,1,3,5,0,3,0,7,0,0,0,1,0,33,4,0,0,4,16,22,0,0,0,0,3,1,10,17,80,14,446,1,33,1,46,1820,43,4
D20210511T222618_IFCB102,0,24,59,7,2,20,9,6,101,493,2,1,0,0,7,0,7,0,18,0,0,0,1,0,65,11,0,1,2,17,35,0,0,0,0,2,1,1,4,29,80,299,0,2,0,22,5584,116,4
D20210511T223452_IFCB115,2,24,42,6,0,29,21,3,136,213,0,2,1,3,3,0,4,0,3,0,0,0,0,0,38,2,0,2,5,15,22,1,1,0,0,0,0,5,17,125,13,397,0,44,0,25,1829,55,1
D20210511T225036_IFCB102,1,30,52,7,0,24,15,4,99,535,2,0,1,2,7,0,2,0,19,0,0,0,1,0,59,5,0,1,1,17,27,0,1,0,0,0,0,1,3,26,85,288,0,3,0,24,5637,103,2
D20210511T225914_IFCB115,9,20,58,17,1,29,18,4,150,215,5,2,0,2,11,0,4,2,5,0,2,0,0,0,23,3,0,1,3,19,29,0,0,0,0,3,1,14,5,104,11,405,0,43,1,22,1742,52,3
D20210511T231456_IFCB102,3,32,51,5,0,23,21,5,121,459,0,0,2,2,5,0,5,1,6,0,0,0,0,0,82,5,0,2,0,22,40,2,0,0,0,1,0,0,4,26,70,351,1,2,1,28,5634,107,4
D20210511T232337_IFCB115,10,30,55,10,0,36,15,8,164,190,0,1,2,1,5,0,3,2,13,0,0,0,1,0,40,6,0,1,2,17,28,0,0,0,0,2,1,6,4,115,7,360,2,26,2,16,1704,38,2
D20210511T233914_IFCB102,3,62,98,7,0,15,18,6,96,452,0,0,4,2,5,0,10,0,11,0,0,0,0,0,113,7,1,1,3,26,33,0,0,0,1,3,1,1,3,26,52,350,0,5,1,28,5051,122,6
D20210511T234916_IFCB115,4,14,21,10,0,17,15,2,111,171,1,2,0,2,7,1,7,1,3,0,0,0,1,0,37,3,0,0,2,7,35,0,1,0,0,1,0,7,4,97,6,397,0,44,2,28,1333,45,4
D20210512T000335_IFCB102,7,93,190,3,0,20,20,5,142,397,0,0,1,6,8,1,10,0,17,0,0,0,0,0,179,9,0,0,2,47,38,0,0,0,0,1,2,3,2,24,54,351,0,5,0,19,4408,138,18
D20210512T001338_IFCB115,5,17,25,7,0,22,12,7,128,213,3,0,0,3,7,1,10,0,5,0,0,0,0,0,28,2,0,1,2,24,26,0,0,0,0,0,1,10,5,74,7,398,2,40,1,38,1314,48,2
D20210512T002756_IFCB102,1,133,317,9,0,15,45,4,134,271,1,4,5,8,11,0,12,2,14,0,0,1,0,0,292,28,0,0,4,63,30,1,0,0,0,1,2,1,2,36,50,406,0,8,2,37,3347,185,16
D20210512T003800_IFCB115,3,20,33,5,0,30,12,7,125,171,1,0,3,2,7,1,5,0,2,0,0,0,0,0,25,5,0,0,2,23,22,0,0,0,0,5,0,11,4,76,5,445,0,46,1,44,1353,34,5
D20210512T005216_IFCB102,1,163,446,6,0,11,28,3,120,125,1,0,4,6,12,1,16,3,28,0,0,1,3,0,453,35,0,0,6,96,24,0,0,0,0,2,0,1,1,31,45,414,0,7,0,19,2483,257,20
D20210512T010425_IFCB115,0,0,169,0,0,0,1,3,41,6,0,34,16,0,1,0,0,0,48,1,0,2,0,0,4,1402,0,0,0,97,7,0,3,0,7,1,0,113,2410,21,0,49,1,0,0,5,617,40,43
